[2026-04-12 19:42:17] UNLOADED | Host: C:\WINDOWS\system32\wlrmdr.exe
[2026-04-12 19:42:18] LOADED | Host: C:\WINDOWS\system32\ApplicationFrameHost.exe
[2026-04-12 19:42:19] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:42:20] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:42:20] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:42:20] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:42:20] LOADED | Host: C:\WINDOWS\uus\packages\preview\AMD64\MoUsoCoreWorker.exe
[2026-04-12 19:42:21] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:42:22] LOADED | Host: C:\WINDOWS\uus\packages\preview\AMD64\MoNotificationUx.exe
[2026-04-12 19:42:22] UNLOADED | Host: C:\WINDOWS\uus\packages\preview\AMD64\MoNotificationUx.exe
[2026-04-12 19:42:22] UNLOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:42:23] LOADED | Host: C:\Windows\System32\VBoxTray.exe
[2026-04-12 19:42:23] LOADED | Host: C:\Users\LabAdmin\AppData\Local\Microsoft\OneDrive\OneDrive.exe
[2026-04-12 19:42:25] LOADED | Host: C:\Users\LabAdmin\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\FileCoAuth.exe
[2026-04-12 19:42:25] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:42:25] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:42:25] LOADED | Host: C:\WINDOWS\system32\SearchIndexer.exe
[2026-04-12 19:42:30] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:42:30] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:42:31] UNLOADED | Host: C:\Users\LabAdmin\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\FileCoAuth.exe
[2026-04-12 19:42:31] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:42:31] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:42:38] LOADED | Host: C:\WINDOWS\system32\dxgiadaptercache.exe
[2026-04-12 19:42:38] UNLOADED | Host: C:\WINDOWS\system32\dxgiadaptercache.exe
[2026-04-12 19:42:39] LOADED | Host: \\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe
[2026-04-12 19:42:39] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:42:39] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:42:39] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:42:44] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:42:44] LOADED | Host: C:\WINDOWS\system32\consent.exe
[2026-04-12 19:42:45] LOADED | Host: C:\WINDOWS\system32\ctfmon.exe
[2026-04-12 19:42:46] UNLOADED | Host: C:\WINDOWS\system32\consent.exe
